,dt
1498,2014-09-24
1499,2014-09-25
1500,2014-09-26
1501,2014-09-27
1502,2014-09-28
1503,2014-09-29
1504,2014-09-30
1505,2014-10-01
1506,2014-10-02
1507,2014-10-03
1508,2014-10-04
1509,2014-10-05
1510,2014-10-06
1511,2014-10-07
1512,2014-10-08
1513,2014-10-09
1514,2014-10-10
1515,2014-10-11
1516,2014-10-12
1517,2014-10-13
1518,2014-10-15
1519,2014-10-16
1520,2014-10-17
1521,2014-10-18
1522,2014-10-20
1523,2014-10-21
1524,2014-10-22
1525,2014-10-23
1526,2014-10-24
1527,2014-10-25
1528,2014-10-26
1529,2014-10-27
1530,2014-10-28
1531,2014-10-29
1532,2014-10-31
1533,2014-11-02
1534,2014-11-03
1535,2014-11-04
1536,2014-11-05
1537,2014-11-08
1538,2014-11-09
1539,2014-11-11
1540,2014-11-13
1541,2014-11-14
1542,2014-11-15
1543,2014-11-16
1544,2014-11-17
1545,2014-11-18
1546,2014-11-19
1547,2014-11-20
1548,2014-11-21
1549,2014-11-22
1550,2014-11-23
1551,2014-11-24
1552,2014-11-25
1553,2014-11-26
1554,2014-11-27
1555,2014-11-28
1556,2014-11-29
1557,2014-11-30
1558,2014-12-02
1559,2014-12-03
1560,2014-12-04
1561,2014-12-05
1562,2014-12-06
1563,2014-12-08
1564,2014-12-09
1565,2014-12-11
1566,2014-12-12
1567,2014-12-13
1568,2014-12-14
1569,2014-12-15
1570,2014-12-16
1571,2014-12-17
1572,2014-12-18
1573,2014-12-19
1574,2014-12-20
1575,2014-12-22
1576,2014-12-23
1577,2014-12-24
1578,2014-12-25
1579,2014-12-26
1580,2014-12-28
1581,2014-12-29
1582,2014-12-31
1583,2015-01-01
1584,2015-01-02
1585,2015-01-03
1586,2015-01-05
1587,2015-01-06
1588,2015-01-07
1589,2015-01-08
1590,2015-01-09
1591,2015-01-11
1592,2015-01-12
1593,2015-01-13
1594,2015-01-14
1595,2015-01-15
1596,2015-01-16
1597,2015-01-17
1598,2015-01-18
1599,2015-01-20
1600,2015-01-21
1601,2015-01-22
1602,2015-01-23
1603,2015-01-24
1604,2015-01-25
1605,2015-01-27
1606,2015-01-28
1607,2015-01-29
1608,2015-01-30
1609,2015-01-31
1610,2015-02-01
1611,2015-02-02
1612,2015-02-04
1613,2015-02-05
1614,2015-02-06
1615,2015-02-07
1616,2015-02-08
1617,2015-02-09
1618,2015-02-10
1619,2015-02-11
1620,2015-02-12
1621,2015-02-14
1622,2015-02-15
1623,2015-02-16
1624,2015-02-18
1625,2015-02-19
1626,2015-02-20
1627,2015-02-21
1628,2015-02-22
1629,2015-02-23
1630,2015-02-24
1631,2015-02-25
1632,2015-02-26
1633,2015-02-27
1634,2015-02-28
1635,2015-03-01
1636,2015-03-04
1637,2015-03-05
1638,2015-03-06
1639,2015-03-07
1640,2015-03-08
1641,2015-03-09
1642,2015-03-10
1643,2015-03-12
1644,2015-03-13
1645,2015-03-15
1646,2015-03-16
1647,2015-03-17
1648,2015-03-18
1649,2015-03-19
1650,2015-03-20
1651,2015-03-21
1652,2015-03-22
1653,2015-03-23
1654,2015-03-25
1655,2015-03-26
1656,2015-03-28
1657,2015-03-29
1658,2015-03-30
1659,2015-03-31
1660,2015-04-01
1661,2015-04-03
1662,2015-04-04
1663,2015-04-05
1664,2015-04-06
1665,2015-04-07
1666,2015-04-08
1667,2015-04-09
1668,2015-04-10
1669,2015-04-11
1670,2015-04-12
1671,2015-04-13
1672,2015-04-14
1673,2015-04-17
1674,2015-04-18
1675,2015-04-19
1676,2015-04-21
1677,2015-04-22
1678,2015-04-23
1679,2015-04-24
1680,2015-04-26
1681,2015-04-27
1682,2015-04-28
1683,2015-04-29
1684,2015-04-30
1685,2015-05-01
1686,2015-05-04
1687,2015-05-05
1688,2015-05-06
1689,2015-05-07
1690,2015-05-08
1691,2015-05-09
1692,2015-05-11
1693,2015-05-12
1694,2015-05-13
1695,2015-05-14
1696,2015-05-16
1697,2015-05-17
1698,2015-05-18
1699,2015-05-19
1700,2015-05-20
1701,2015-05-21
1702,2015-05-23
1703,2015-05-25
1704,2015-05-26
1705,2015-05-27
1706,2015-05-28
1707,2015-05-29
1708,2015-05-30
1709,2015-05-31
1710,2015-06-01
1711,2015-06-02
1712,2015-06-03
1713,2015-06-04
1714,2015-06-05
1715,2015-06-06
1716,2015-06-07
1717,2015-06-08
1718,2015-06-09
1719,2015-06-11
1720,2015-06-13
1721,2015-06-14
1722,2015-06-16
1723,2015-06-17
1724,2015-06-18
1725,2015-06-19
1726,2015-06-20
1727,2015-06-22
1728,2015-06-23
1729,2015-06-24
1730,2015-06-25
1731,2015-06-26
1732,2015-06-27
1733,2015-06-28
1734,2015-06-29
1735,2015-06-30
1736,2015-07-01
1737,2015-07-02
1738,2015-07-03
1739,2015-07-04
1740,2015-07-05
1741,2015-07-06
1742,2015-07-07
1743,2015-07-10
1744,2015-07-11
1745,2015-07-12
1746,2015-07-13
1747,2015-07-14
1748,2015-07-15
1749,2015-07-16
1750,2015-07-18
1751,2015-07-19
1752,2015-07-20
1753,2015-07-21
1754,2015-07-22
1755,2015-07-23
1756,2015-07-24
1757,2015-07-25
1758,2015-07-27
1759,2015-07-28
1760,2015-07-29
1761,2015-07-31
1762,2015-08-01
1763,2015-08-02
1764,2015-08-03
1765,2015-08-04
1766,2015-08-05
1767,2015-08-07
1768,2015-08-08
1769,2015-08-09
1770,2015-08-10
1771,2015-08-11
1772,2015-08-12
1773,2015-08-13
1774,2015-08-14
1775,2015-08-15
1776,2015-08-16
1777,2015-08-18
1778,2015-08-19
1779,2015-08-20
1780,2015-08-22
1781,2015-08-23
1782,2015-08-24
1783,2015-08-25
1784,2015-08-26
1785,2015-08-27
1786,2015-08-28
1787,2015-08-29
1788,2015-08-30
1789,2015-08-31
1790,2015-09-01
1791,2015-09-02
1792,2015-09-03
1793,2015-09-04
1794,2015-09-05
1795,2015-09-06
1796,2015-09-07
1797,2015-09-08
1798,2015-09-09
1799,2015-09-10
1800,2015-09-11
1801,2015-09-12
1802,2015-09-13
1803,2015-09-14
1804,2015-09-15
1805,2015-09-16
1806,2015-09-17
1807,2015-09-18
1808,2015-09-19
1809,2015-09-20
1810,2015-09-21
1811,2015-09-22
1812,2015-09-23
1813,2015-09-24
1814,2015-09-25
1815,2015-09-27
1816,2015-09-28
1817,2015-09-29
1818,2015-09-30
1819,2015-10-01
1820,2015-10-03
1821,2015-10-04
1822,2015-10-07
1823,2015-10-08
1824,2015-10-09
1825,2015-10-10
1826,2015-10-11
1827,2015-10-12
1828,2015-10-13
1829,2015-10-14
1830,2015-10-15
1831,2015-10-16
1832,2015-10-17
1833,2015-10-18
1834,2015-10-19
1835,2015-10-20
1836,2015-10-21
1837,2015-10-22
1838,2015-10-23
1839,2015-10-24
1840,2015-10-25
1841,2015-10-26
1842,2015-10-27
1843,2015-10-28
1844,2015-10-29
1845,2015-10-30
1846,2015-10-31
1847,2015-11-01
1848,2015-11-02
1849,2015-11-03
1850,2015-11-04
1851,2015-11-05
1852,2015-11-06
1853,2015-11-07
1854,2015-11-08
1855,2015-11-10
1856,2015-11-11
1857,2015-11-12
1858,2015-11-14
1859,2015-11-15
1860,2015-11-17
1861,2015-11-19
1862,2015-11-20
1863,2015-11-21
1864,2015-11-22
1865,2015-11-23
1866,2015-11-24
1867,2015-11-26
1868,2015-11-27
1869,2015-11-28
1870,2015-11-29
1871,2015-11-30
1872,2015-12-01
1873,2015-12-02
1874,2015-12-03
1875,2015-12-05
1876,2015-12-06
1877,2015-12-08
1878,2015-12-09
1879,2015-12-10
1880,2015-12-11
1881,2015-12-12
1882,2015-12-13
1883,2015-12-14
1884,2015-12-15
1885,2015-12-16
1886,2015-12-17
1887,2015-12-18
1888,2015-12-19
1889,2015-12-20
1890,2015-12-21
1891,2015-12-22
1892,2015-12-23
1893,2015-12-24
1894,2015-12-25
1895,2015-12-26
1896,2015-12-27
1897,2015-12-28
1898,2015-12-29
1899,2015-12-30
1900,2015-12-31
1901,2016-01-01
1902,2016-01-02
1903,2016-01-03
1904,2016-01-05
1905,2016-01-06
1906,2016-01-07
1907,2016-01-10
1908,2016-01-11
1909,2016-01-12
1910,2016-01-13
1911,2016-01-14
1912,2016-01-15
1913,2016-01-16
1914,2016-01-17
1915,2016-01-18
1916,2016-01-19
1917,2016-01-20
1918,2016-01-21
1919,2016-01-23
1920,2016-01-24
1921,2016-01-25
1922,2016-01-27
1923,2016-01-30
1924,2016-01-31
1925,2016-02-01
1926,2016-02-02
1927,2016-02-03
1928,2016-02-04
1929,2016-02-05
1930,2016-02-06
1931,2016-02-07
1932,2016-02-08
1933,2016-02-09
1934,2016-02-10
1935,2016-02-11
1936,2016-02-12
1937,2016-02-13
1938,2016-02-14
1939,2016-02-15
1940,2016-02-16
1941,2016-02-17
1942,2016-02-18
1943,2016-02-19
1944,2016-02-20
1945,2016-02-21
1946,2016-02-22
1947,2016-02-25
1948,2016-02-27
1949,2016-02-29
1950,2016-03-01
1951,2016-03-02
1952,2016-03-03
1953,2016-03-04
1954,2016-03-05
1955,2016-03-06
1956,2016-03-07
1957,2016-03-08
1958,2016-03-09
1959,2016-03-10
1960,2016-03-11
1961,2016-03-12
1962,2016-03-13
1963,2016-03-14
1964,2016-03-16
1965,2016-03-17
1966,2016-03-18
1967,2016-03-19
1968,2016-03-20
1969,2016-03-21
1970,2016-03-22
1971,2016-03-23
1972,2016-03-24
1973,2016-03-25
1974,2016-03-26
1975,2016-03-27
1976,2016-03-28
1977,2016-03-30
1978,2016-03-31
1979,2016-04-01
1980,2016-04-06
1981,2016-04-07
1982,2016-04-08
1983,2016-04-10
1984,2016-04-11
1985,2016-04-12
1986,2016-04-13
1987,2016-04-15
1988,2016-04-16
1989,2016-04-17
1990,2016-04-18
1991,2016-04-21
1992,2016-04-22
1993,2016-04-23
1994,2016-04-24
1995,2016-04-25
1996,2016-04-26
1997,2016-04-27
1998,2016-04-28
1999,2016-04-30
2000,2016-05-01
2001,2016-05-02
2002,2016-05-04
2003,2016-05-05
2004,2016-05-06
2005,2016-05-07
2006,2016-05-08
2007,2016-05-09
2008,2016-05-10
2009,2016-05-11
2010,2016-05-12
2011,2016-05-13
2012,2016-05-14
2013,2016-05-15
2014,2016-05-16
2015,2016-05-17
2016,2016-05-18
2017,2016-05-19
2018,2016-05-20
2019,2016-05-21
2020,2016-05-22
2021,2016-05-23
2022,2016-05-24
2023,2016-05-25
2024,2016-05-26
2025,2016-05-27
2026,2016-05-28
2027,2016-05-29
2028,2016-05-31
2029,2016-06-01
2030,2016-06-02
2031,2016-06-03
2032,2016-06-04
2033,2016-06-08
2034,2016-06-10
2035,2016-06-11
2036,2016-06-12
2037,2016-06-13
2038,2016-06-14
2039,2016-06-15
2040,2016-06-16
2041,2016-06-17
2042,2016-06-18
2043,2016-06-19
2044,2016-06-20
2045,2016-06-23
2046,2016-06-24
2047,2016-06-25
2048,2016-06-26
2049,2016-06-27
2050,2016-06-29
2051,2016-06-30
2052,2016-07-01
2053,2016-07-02
2054,2016-07-04
2055,2016-07-05
2056,2016-07-06
2057,2016-07-07
2058,2016-07-08
2059,2016-07-09
2060,2016-07-10
2061,2016-07-11
2062,2016-07-12
2063,2016-07-13
2064,2016-07-14
2065,2016-07-15
2066,2016-07-17
2067,2016-07-18
2068,2016-07-19
2069,2016-07-20
2070,2016-07-21
2071,2016-07-22
2072,2016-07-23
2073,2016-07-24
2074,2016-07-25
2075,2016-07-26
2076,2016-07-28
2077,2016-08-01
2078,2016-08-02
2079,2016-08-03
2080,2016-08-04
2081,2016-08-05
2082,2016-08-06
2083,2016-08-07
2084,2016-08-08
2085,2016-08-09
2086,2016-08-10
2087,2016-08-11
2088,2016-08-12
2089,2016-08-13
2090,2016-08-14
2091,2016-08-15
2092,2016-08-16
2093,2016-08-17
2094,2016-08-18
2095,2016-08-19
2096,2016-08-20
2097,2016-08-22
2098,2016-08-24
2099,2016-08-25
2100,2016-08-27
2101,2016-08-28
2102,2016-08-29
2103,2016-08-30
2104,2016-08-31
2105,2016-09-01
2106,2016-09-02
2107,2016-09-04
2108,2016-09-05
2109,2016-09-08
2110,2016-09-09
2111,2016-09-10
2112,2016-09-11
2113,2016-09-12
2114,2016-09-13
2115,2016-09-14
2116,2016-09-15
2117,2016-09-17
2118,2016-09-18
2119,2016-09-19
2120,2016-09-20
2121,2016-09-21
2122,2016-09-22
2123,2016-09-23
2124,2016-09-24
2125,2016-09-25
2126,2016-09-26
2127,2016-09-27
2128,2016-09-29
2129,2016-09-30
2130,2016-10-01
2131,2016-10-02
2132,2016-10-05
2133,2016-10-06
2134,2016-10-07
2135,2016-10-08
2136,2016-10-10
2137,2016-10-11
2138,2016-10-12
2139,2016-10-13
2140,2016-10-14
2141,2016-10-16
2142,2016-10-18
2143,2016-10-19
2144,2016-10-20
2145,2016-10-21
2146,2016-10-22
2147,2016-10-23
2148,2016-10-24
2149,2016-10-25
2150,2016-10-26
2151,2016-10-27
2152,2016-10-28
2153,2016-10-30
2154,2016-11-01
2155,2016-11-02
2156,2016-11-04
2157,2016-11-05
2158,2016-11-06
2159,2016-11-07
2160,2016-11-09
2161,2016-11-10
2162,2016-11-11
2163,2016-11-12
2164,2016-11-13
2165,2016-11-16
2166,2016-11-17
2167,2016-11-18
2168,2016-11-20
2169,2016-11-21
2170,2016-11-23
2171,2016-11-24
2172,2016-11-25
2173,2016-11-26
2174,2016-11-27
2175,2016-11-28
2176,2016-11-29
2177,2016-12-01
2178,2016-12-02
2179,2016-12-03
2180,2016-12-05
2181,2016-12-06
2182,2016-12-07
2183,2016-12-08
2184,2016-12-09
2185,2016-12-10
2186,2016-12-11
2187,2016-12-12
2188,2016-12-13
2189,2016-12-14
2190,2016-12-15
2191,2016-12-16
2192,2016-12-17
2193,2016-12-18
2194,2016-12-19
2195,2016-12-20
2196,2016-12-21
2197,2016-12-23
2198,2016-12-24
2199,2016-12-26
2200,2016-12-28
2201,2016-12-29
2202,2016-12-30
2203,2017-01-01
2204,2017-01-02
2205,2017-01-03
2206,2017-01-04
2207,2017-01-05
2208,2017-01-07
2209,2017-01-08
2210,2017-01-09
2211,2017-01-10
2212,2017-01-11
2213,2017-01-13
2214,2017-01-14
2215,2017-01-15
2216,2017-01-16
2217,2017-01-17
2218,2017-01-18
2219,2017-01-19
2220,2017-01-20
2221,2017-01-21
2222,2017-01-22
2223,2017-01-23
2224,2017-01-24
2225,2017-01-25
2226,2017-01-26
2227,2017-01-27
2228,2017-01-30
2229,2017-01-31
2230,2017-02-01
2231,2017-02-02
2232,2017-02-03
2233,2017-02-04
2234,2017-02-06
2235,2017-02-07
2236,2017-02-08
2237,2017-02-09
2238,2017-02-10
2239,2017-02-11
2240,2017-02-12
2241,2017-02-13
2242,2017-02-14
2243,2017-02-15
2244,2017-02-16
2245,2017-02-19
2246,2017-02-20
2247,2017-02-21
2248,2017-02-22
2249,2017-02-23
2250,2017-02-24
2251,2017-02-26
2252,2017-02-27
2253,2017-02-28
2254,2017-03-01
2255,2017-03-02
2256,2017-03-03
2257,2017-03-04
2258,2017-03-05
2259,2017-03-06
2260,2017-03-09
2261,2017-03-11
2262,2017-03-12
2263,2017-03-13
2264,2017-03-14
2265,2017-03-15
2266,2017-03-16
2267,2017-03-17
2268,2017-03-18
2269,2017-03-19
2270,2017-03-20
2271,2017-03-21
2272,2017-03-22
2273,2017-03-23
2274,2017-03-24
2275,2017-03-26
2276,2017-03-28
2277,2017-03-29
2278,2017-03-31
2279,2017-04-03
2280,2017-04-04
2281,2017-04-05
2282,2017-04-06
2283,2017-04-07
2284,2017-04-09
2285,2017-04-10
2286,2017-04-11
2287,2017-04-12
2288,2017-04-13
2289,2017-04-14
2290,2017-04-15
2291,2017-04-16
2292,2017-04-18
2293,2017-04-19
2294,2017-04-20
2295,2017-04-21
2296,2017-04-22
2297,2017-04-23
2298,2017-04-24
2299,2017-04-27
2300,2017-04-28
2301,2017-04-29
2302,2017-04-30
2303,2017-05-01
2304,2017-05-02
2305,2017-05-03
2306,2017-05-04
2307,2017-05-05
2308,2017-05-06
2309,2017-05-07
2310,2017-05-08
2311,2017-05-09
2312,2017-05-10
2313,2017-05-12
2314,2017-05-13
2315,2017-05-14
2316,2017-05-15
2317,2017-05-17
2318,2017-05-18
2319,2017-05-19
2320,2017-05-20
2321,2017-05-22
2322,2017-05-23
2323,2017-05-24
2324,2017-05-25
2325,2017-05-26
2326,2017-05-27
2327,2017-05-28
2328,2017-05-30
2329,2017-05-31
2330,2017-06-01
2331,2017-06-02
2332,2017-06-03
2333,2017-06-07
2334,2017-06-09
2335,2017-06-10
2336,2017-06-11
2337,2017-06-12
2338,2017-06-14
2339,2017-06-15
2340,2017-06-16
2341,2017-06-18
2342,2017-06-19
2343,2017-06-20
2344,2017-06-21
2345,2017-06-22
2346,2017-06-23
2347,2017-06-24
2348,2017-06-25
2349,2017-06-26
2350,2017-06-27
2351,2017-06-28
2352,2017-06-29
2353,2017-06-30
2354,2017-07-01
2355,2017-07-02
2356,2017-07-03
2357,2017-07-05
2358,2017-07-06
2359,2017-07-07
2360,2017-07-08
2361,2017-07-09
2362,2017-07-10
2363,2017-07-11
2364,2017-07-14
2365,2017-07-17
2366,2017-07-18
2367,2017-07-19
2368,2017-07-20
2369,2017-07-21
2370,2017-07-22
2371,2017-07-23
2372,2017-07-24
2373,2017-07-25
2374,2017-07-26
2375,2017-07-27
2376,2017-07-29
2377,2017-07-30
2378,2017-07-31
2379,2017-08-01
2380,2017-08-02
2381,2017-08-03
2382,2017-08-04
2383,2017-08-05
2384,2017-08-06
2385,2017-08-08
2386,2017-08-09
2387,2017-08-10
2388,2017-08-12
2389,2017-08-13
2390,2017-08-16
2391,2017-08-17
2392,2017-08-18
2393,2017-08-20
2394,2017-08-22
2395,2017-08-23
2396,2017-08-24
2397,2017-08-25
2398,2017-08-26
2399,2017-08-27
2400,2017-08-29
2401,2017-08-30
2402,2017-08-31
2403,2017-09-01
2404,2017-09-02
2405,2017-09-04
2406,2017-09-06
2407,2017-09-07
2408,2017-09-08
2409,2017-09-09
2410,2017-09-10
2411,2017-09-13
2412,2017-09-14
2413,2017-09-15
2414,2017-09-16
2415,2017-09-17
2416,2017-09-18
2417,2017-09-19
2418,2017-09-20
2419,2017-09-21
2420,2017-09-22
2421,2017-09-23
2422,2017-09-24
2423,2017-09-25
2424,2017-09-26
2425,2017-09-27
2426,2017-09-29
2427,2017-09-30
2428,2017-10-02
2429,2017-10-03
2430,2017-10-04
2431,2017-10-05
2432,2017-10-06
2433,2017-10-07
2434,2017-10-08
2435,2017-10-09
2436,2017-10-12
2437,2017-10-13
2438,2017-10-14
2439,2017-10-15
2440,2017-10-16
2441,2017-10-19
2442,2017-10-20
2443,2017-10-21
2444,2017-10-22
2445,2017-10-24
2446,2017-10-25
2447,2017-10-26
2448,2017-10-27
2449,2017-10-28
2450,2017-10-30
2451,2017-10-31
2452,2017-11-01
2453,2017-11-02
2454,2017-11-03
2455,2017-11-05
2456,2017-11-06
2457,2017-11-07
2458,2017-11-08
2459,2017-11-09
2460,2017-11-12
2461,2017-11-13
2462,2017-11-14
2463,2017-11-15
2464,2017-11-16
2465,2017-11-17
2466,2017-11-18
2467,2017-11-19
2468,2017-11-20
2469,2017-11-21
2470,2017-11-22
2471,2017-11-23
2472,2017-11-25
2473,2017-11-26
2474,2017-11-27
2475,2017-11-29
2476,2017-11-30
2477,2017-12-01
2478,2017-12-02
2479,2017-12-04
2480,2017-12-05
2481,2017-12-06
2482,2017-12-08
2483,2017-12-09
2484,2017-12-10
2485,2017-12-12
2486,2017-12-13
2487,2017-12-15
2488,2017-12-16
2489,2017-12-18
2490,2017-12-19
2491,2017-12-20
2492,2017-12-21
2493,2017-12-22
2494,2017-12-23
2495,2017-12-24
2496,2017-12-25
2497,2017-12-26
2498,2017-12-28
2499,2017-12-30
2500,2017-12-31
2501,2018-01-01
2502,2018-01-02
2503,2018-01-03
2504,2018-01-04
2505,2018-01-05
2506,2018-01-06
2507,2018-01-07
2508,2018-01-08
2509,2018-01-09
2510,2018-01-10
2511,2018-01-11
2512,2018-01-12
2513,2018-01-13
2514,2018-01-14
2515,2018-01-17
2516,2018-01-18
2517,2018-01-19
2518,2018-01-21
2519,2018-01-23
2520,2018-01-24
2521,2018-01-25
2522,2018-01-26
2523,2018-01-27
2524,2018-01-28
2525,2018-01-29
2526,2018-01-31
2527,2018-02-02
2528,2018-02-04
2529,2018-02-05
2530,2018-02-06
2531,2018-02-07
2532,2018-02-08
2533,2018-02-09
2534,2018-02-10
2535,2018-02-11
2536,2018-02-12
2537,2018-02-13
2538,2018-02-14
2539,2018-02-15
2540,2018-02-16
2541,2018-02-17
2542,2018-02-18
2543,2018-02-19
2544,2018-02-20
2545,2018-02-21
2546,2018-02-22
2547,2018-02-23
2548,2018-02-24
2549,2018-02-25
2550,2018-02-26
2551,2018-02-27
2552,2018-02-28
2553,2018-03-01
2554,2018-03-02
2555,2018-03-03
2556,2018-03-05
2557,2018-03-06
2558,2018-03-07
2559,2018-03-08
2560,2018-03-09
2561,2018-03-10
2562,2018-03-11
2563,2018-03-12
2564,2018-03-15
2565,2018-03-16
2566,2018-03-17
2567,2018-03-20
2568,2018-03-21
2569,2018-03-23
2570,2018-03-24
2571,2018-03-25
2572,2018-03-26
2573,2018-03-27
2574,2018-03-28
2575,2018-03-29
2576,2018-03-30
2577,2018-03-31
2578,2018-04-01
2579,2018-04-02
2580,2018-04-04
2581,2018-04-05
2582,2018-04-06
2583,2018-04-07
2584,2018-04-08
2585,2018-04-09
2586,2018-04-11
2587,2018-04-12
2588,2018-04-13
2589,2018-04-14
2590,2018-04-15
2591,2018-04-16
2592,2018-04-17
2593,2018-04-18
2594,2018-04-19
2595,2018-04-20
2596,2018-04-21
2597,2018-04-22
2598,2018-04-24
2599,2018-04-25
2600,2018-04-26
2601,2018-04-27
2602,2018-04-28
2603,2018-04-29
2604,2018-04-30
2605,2018-05-02
2606,2018-05-03
2607,2018-05-04
2608,2018-05-05
2609,2018-05-06
2610,2018-05-10
2611,2018-05-11
2612,2018-05-12
2613,2018-05-14
2614,2018-05-15
2615,2018-05-16
2616,2018-05-18
2617,2018-05-19
2618,2018-05-20
2619,2018-05-21
2620,2018-05-23
2621,2018-05-24
2622,2018-05-26
2623,2018-05-27
2624,2018-05-28
2625,2018-05-29
2626,2018-05-30
2627,2018-06-01
2628,2018-06-02
2629,2018-06-03
2630,2018-06-04
2631,2018-06-05
2632,2018-06-06
2633,2018-06-07
2634,2018-06-08
2635,2018-06-09
2636,2018-06-10
2637,2018-06-11
2638,2018-06-12
2639,2018-06-13
2640,2018-06-14
2641,2018-06-15
2642,2018-06-16
2643,2018-06-17
2644,2018-06-18
2645,2018-06-19
2646,2018-06-20
2647,2018-06-21
2648,2018-06-22
2649,2018-06-23
2650,2018-06-24
2651,2018-06-25
2652,2018-06-26
2653,2018-06-27
2654,2018-06-28
2655,2018-06-29
2656,2018-06-30
2657,2018-07-01
2658,2018-07-02
2659,2018-07-03
2660,2018-07-04
2661,2018-07-05
2662,2018-07-06
2663,2018-07-07
2664,2018-07-08
2665,2018-07-09
2666,2018-07-10
2667,2018-07-11
2668,2018-07-12
2669,2018-07-13
2670,2018-07-14
2671,2018-07-15
2672,2018-07-16
2673,2018-07-17
2674,2018-07-18
2675,2018-07-19
2676,2018-07-20
2677,2018-07-21
2678,2018-07-22
2679,2018-07-23
2680,2018-07-24
2681,2018-07-25
2682,2018-07-27
2683,2018-07-28
2684,2018-07-30
2685,2018-07-31
2686,2018-08-01
2687,2018-08-02
2688,2018-08-03
2689,2018-08-04
2690,2018-08-05
2691,2018-08-06
2692,2018-08-07
2693,2018-08-08
2694,2018-08-09
2695,2018-08-10
2696,2018-08-11
2697,2018-08-14
2698,2018-08-15
2699,2018-08-16
2700,2018-08-17
2701,2018-08-18
2702,2018-08-19
2703,2018-08-20
2704,2018-08-21
2705,2018-08-22
2706,2018-08-23
2707,2018-08-24
2708,2018-08-25
2709,2018-08-26
2710,2018-08-27
2711,2018-08-28
2712,2018-08-29
2713,2018-08-30
2714,2018-08-31
2715,2018-09-01
2716,2018-09-02
2717,2018-09-03
2718,2018-09-04
2719,2018-09-05
2720,2018-09-06
2721,2018-09-07
2722,2018-09-08
2723,2018-09-09
2724,2018-09-10
2725,2018-09-11
2726,2018-09-12
2727,2018-09-13
2728,2018-09-15
2729,2018-09-16
2730,2018-09-17
2731,2018-09-19
2732,2018-09-20
2733,2018-09-21
2734,2018-09-22
2735,2018-09-23
2736,2018-09-26
2737,2018-09-27
2738,2018-09-28
2739,2018-09-29
2740,2018-09-30
2741,2018-10-01
2742,2018-10-02
2743,2018-10-03
2744,2018-10-04
2745,2018-10-05
2746,2018-10-06
2747,2018-10-07
2748,2018-10-08
2749,2018-10-10
2750,2018-10-11
2751,2018-10-12
2752,2018-10-13
2753,2018-10-14
2754,2018-10-16
2755,2018-10-17
2756,2018-10-18
2757,2018-10-20
2758,2018-10-21
2759,2018-10-22
2760,2018-10-23
2761,2018-10-24
2762,2018-10-25
2763,2018-10-27
2764,2018-10-29
2765,2018-11-01
2766,2018-11-02
2767,2018-11-03
2768,2018-11-04
2769,2018-11-07
2770,2018-11-08
2771,2018-11-09
2772,2018-11-13
2773,2018-11-15
2774,2018-11-16
2775,2018-11-17
2776,2018-11-18
2777,2018-11-20
2778,2018-11-23
2779,2018-11-24
2780,2018-11-25
2781,2018-11-26
2782,2018-11-28
2783,2018-11-29
2784,2018-11-30
2785,2018-12-01
2786,2018-12-02
2787,2018-12-03
2788,2018-12-04
2789,2018-12-05
2790,2018-12-06
2791,2018-12-07
2792,2018-12-08
2793,2018-12-10
2794,2018-12-11
2795,2018-12-14
2796,2018-12-15
2797,2018-12-16
2798,2018-12-17
2799,2018-12-18
2800,2018-12-19
2801,2018-12-20
2802,2018-12-21
2803,2018-12-22
2804,2018-12-23
2805,2018-12-24
2806,2018-12-25
2807,2018-12-26
2808,2018-12-27
2809,2018-12-28
2810,2018-12-29
2811,2018-12-30
2812,2018-12-31
2813,2019-01-02
2814,2019-01-03
2815,2019-01-04
2816,2019-01-05
2817,2019-01-06
2818,2019-01-07
2819,2019-01-10
2820,2019-01-11
2821,2019-01-12
2822,2019-01-13
2823,2019-01-14
2824,2019-01-15
2825,2019-01-16
2826,2019-01-17
2827,2019-01-18
2828,2019-01-19
2829,2019-01-20
2830,2019-01-21
2831,2019-01-22
2832,2019-01-23
2833,2019-01-24
2834,2019-01-27
2835,2019-01-28
2836,2019-01-30
2837,2019-01-31
2838,2019-02-01
2839,2019-02-04
2840,2019-02-05
2841,2019-02-06
2842,2019-02-07
2843,2019-02-08
2844,2019-02-09
2845,2019-02-10
2846,2019-02-11
2847,2019-02-12
2848,2019-02-13
2849,2019-02-14
2850,2019-02-15
2851,2019-02-16
2852,2019-02-17
2853,2019-02-20
2854,2019-02-22
2855,2019-02-23
2856,2019-02-24
2857,2019-02-25
2858,2019-02-27
2859,2019-02-28
2860,2019-03-01
2861,2019-03-02
2862,2019-03-03
2863,2019-03-04
2864,2019-03-05
2865,2019-03-07
2866,2019-03-08
2867,2019-03-10
2868,2019-03-11
2869,2019-03-12
2870,2019-03-13
2871,2019-03-14
2872,2019-03-15
2873,2019-03-16
2874,2019-03-17
2875,2019-03-18
2876,2019-03-19
2877,2019-03-20
2878,2019-03-21
2879,2019-03-22
2880,2019-03-23
2881,2019-03-24
2882,2019-03-25
2883,2019-03-26
2884,2019-03-27
2885,2019-03-28
2886,2019-03-29
2887,2019-03-30
2888,2019-03-31
2889,2019-04-01
2890,2019-04-02
2891,2019-04-03
2892,2019-04-04
2893,2019-04-05
2894,2019-04-06
2895,2019-04-07
2896,2019-04-08
